topic_name,comment_text,comment_like_num,comment_dislike_num,comment_date,comment_username
test,Test2,0,0,"2021.06.24 09.14.50",lazica
test,Test,1,0,"2021.06.24 09.14.38",lazica
"us election","No matter who comes to the USA as president, he or she will not support Turkey.",0,0,"2021.06.23 17.04.08",lazica
"istanbul vs ankara","Istanbul is one of the most beautiful city in the world. Ankara is not attractive.",0,0,"2021.06.23 14.38.33",mirayonaran
bitcoin,"It consumes a lot of energy and harms the environment.",0,0,"2021.06.23 13.10.58",starryvangogh
"windows 11","modified version of windows 10 but windows 10 looks cooler. just an idea.",0,0,"2021.06.23 13.09.55",starryvangogh
microsoft,"Microsoft Corporation is a technology company which produces computer software, personal computers, and related services. Also, commonly used software product Windows' creator company.",0,0,"2021.06.23 13.08.29",starryvangogh
"death stranding","Death Stranding is an action game developed by Kojima Productions. The game is a miracle of artificial intelligence from top to bottom.",0,0,"2021.06.23 13.04.46",starryvangogh
"vincent van gogh","Vincent van Gogh was a post-Impressionist painter whose work highly influenced 20th-century art. He struggled with mental illness during his lifetime and his point of view was really different.",1,0,"2021.06.23 13.02.51",starryvangogh
"what is fashion?","Sometimes fashion can be an expression of inner self. ",0,0,"2021.06.23 12.58.51",starryvangogh
iphone13,"I would call it as ""miracle of awesomeness."".",0,0,"2021.06.23 12.54.17",starryvangogh
"computer engineering","One of the most creative professions in the world.",1,0,"2021.06.23 12.50.11",starryvangogh
"hideo kojima","Japanese video game designer, director, producer and writer. He is a genius and makes most incredible games of the industry. ",0,0,"2021.06.23 12.48.33",starryvangogh
muse,"English rock band. Their debut album was Showbiz. Nowadays, their songs are usually related to artificial intelligence and it is fun to listen to while coding!",0,0,"2021.06.23 12.45.41",starryvangogh
"biontech or sinovac?","Turkovac is a mix vaccine profesör Reisi Cumhur Ba?bakan hazretleri Ercüment Oval? found it.",0,0,"2021.06.23 02.40.11",soslufistane
"biontech or sinovac?","Sinovac is better, biontech have bade and heavy side effects on patients",0,0,"2021.06.23 02.38.05",soslufistane
"istanbul vs ankara","Definitely Ankara. Who needs sea when you have trees anyways?",0,1,"2021.06.23 01.44.36",lecorbusier
"istanbul vs ankara","pick  your side. Ankara is way better even without sea.",1,1,"2021.06.23 01.41.26",johnclare
cengelkoy,"One of the most beautiful district in ?stanbul",3,0,"2021.06.23 01.05.19",mirayonaran
"armenian genocide","IT IS A BIG LIE",1,0,"2021.06.23 01.03.54",mirayonaran
"what is diet","Sport is a better option.",1,0,"2021.06.23 01.02.54",mirayonaran
"online education","The only advantage I can think of is that I like the idea of (re)watching the lectures whenever I want.",0,0,"2021.06.23 00.44.55",slauluna
"what is fashion?","It is a tool to express yourself through clothes and accessories.",0,0,"2021.06.23 00.36.15",slauluna
"what is fashion?","Fashion is not important. I prefer to wear comfortable clothes.",0,0,"2021.06.23 00.35.42",mirayonaran
"istanbul medipol university","The university has very good professors in the engineering faculty.",1,0,"2021.06.23 00.29.02",mirayonaran
"polluted sea in turkey","A disaster that nobody takes responsibility for. It is a result of all of our actions. Mostly by the government and big corporations.",0,0,"2021.06.23 00.23.36",slauluna
